Município,Data da Coleta,Resultado
FRONTEIRA                                                   ,2018-10-08,0.0
FRONTEIRA                                                   ,2018-12-17,0.0
FRONTEIRA                                                   ,2018-06-11,0.0
FRONTEIRA                                                   ,2018-06-11,0.0
FRONTEIRA                                                   ,2018-06-11,0.0
FRONTEIRA                                                   ,2018-07-09,0.0
FRONTEIRA                                                   ,2018-07-09,0.0
FRONTEIRA                                                   ,2018-07-09,0.0
FRONTEIRA                                                   ,2018-09-11,0.0
FRONTEIRA                                                   ,2018-10-08,0.0
FRONTEIRA                                                   ,2018-10-08,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-06-11,0.0
FRONTEIRA                                                   ,2018-09-11,0.0
FRONTEIRA                                                   ,2018-09-11,0.0
FRONTEIRA                                                   ,2018-09-11,0.0
FRONTEIRA                                                   ,2018-07-09,0.0
FRONTEIRA                                                   ,2018-07-09,0.0
FRONTEIRA                                                   ,2018-07-09,0.0
FRONTEIRA                                                   ,2018-10-08,0.0
FRONTEIRA                                                   ,2018-10-08,0.0
FRONTEIRA                                                   ,2018-10-08,0.0
FRONTEIRA                                                   ,2018-10-08,0.0
FRONTEIRA                                                   ,2018-09-11,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-05-08,0.0
FRONTEIRA                                                   ,2018-06-11,0.0
FRONTEIRA                                                   ,2018-06-11,0.0
FRONTEIRA                                                   ,2018-09-11,0.0
FRONTEIRA                                                   ,2018-08-12,0.0
FRONTEIRA                                                   ,2018-08-12,0.0
FRONTEIRA                                                   ,2018-08-12,0.0
FRONTEIRA                                                   ,2018-08-12,0.0
FRONTEIRA                                                   ,2018-12-17,0.0
FRONTEIRA                                                   ,2018-12-17,0.0
FRONTEIRA                                                   ,2018-07-09,0.0
FRONTEIRA                                                   ,2018-05-08,0.0
FRONTEIRA                                                   ,2018-08-12,0.0
FRONTEIRA                                                   ,2018-08-12,0.0
FRONTEIRA                                                   ,2018-11-12,0.0
FRONTEIRA                                                   ,2018-11-12,0.0
FRONTEIRA                                                   ,2018-11-12,0.0
FRONTEIRA                                                   ,2018-02-18,0.0
FRONTEIRA                                                   ,2018-02-18,0.0
FRONTEIRA                                                   ,2018-02-18,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-07-09,0.0
FRONTEIRA                                                   ,2018-08-13,0.0
FRONTEIRA                                                   ,2018-08-13,0.0
FRONTEIRA                                                   ,2018-08-13,0.0
FRONTEIRA                                                   ,2018-11-12,0.0
FRONTEIRA                                                   ,2018-11-12,0.0
FRONTEIRA                                                   ,2018-12-17,0.0
FRONTEIRA                                                   ,2018-12-17,0.0
